comet-21-19,comet-21-20
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.09
1                       1.14
2                       1.15
4                       1.15
8                       1.14
16                      1.16
32                      1.17
64                      1.21
128                     1.30
256                     1.85
512                     1.96
1024                    2.29
2048                    2.82
4096                    3.23
8192                    4.52
16384                   6.94
32768                  10.26
65536                  15.75
131072                 26.12
262144                 46.86
524288                 88.35
1048576               171.85
2097152               338.43
4194304               670.41
comet-21-19,comet-21-21
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.08
1                       1.15
2                       1.16
4                       1.16
8                       1.16
16                      1.18
32                      1.20
64                      1.23
128                     1.31
256                     1.82
512                     1.94
1024                    2.28
2048                    2.79
4096                    3.15
8192                    4.60
16384                   7.00
32768                  10.41
65536                  15.39
131072                 26.07
262144                 46.65
524288                 88.05
1048576               172.28
2097152               338.05
4194304               667.73
comet-21-19,comet-21-22
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.14
1                       1.21
2                       1.20
4                       1.20
8                       1.20
16                      1.21
32                      1.24
64                      1.29
128                     1.37
256                     1.92
512                     2.02
1024                    2.32
2048                    2.85
4096                    3.26
8192                    4.56
16384                   7.09
32768                  10.44
65536                  15.92
131072                 26.15
262144                 47.31
524288                 88.36
1048576               171.56
2097152               338.09
4194304               671.72
comet-21-19,comet-21-23
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.09
1                       1.18
2                       1.17
4                       1.17
8                       1.16
16                      1.18
32                      1.19
64                      1.22
128                     1.32
256                     1.88
512                     2.00
1024                    2.32
2048                    2.83
4096                    3.25
8192                    4.56
16384                   6.90
32768                  10.40
65536                  15.91
131072                 26.17
262144                 46.97
524288                 88.33
1048576               172.00
2097152               338.30
4194304               671.27
comet-21-19,comet-21-24
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.05
1                       1.11
2                       1.12
4                       1.12
8                       1.13
16                      1.12
32                      1.16
64                      1.20
128                     1.28
256                     1.80
512                     1.94
1024                    2.28
2048                    2.78
4096                    3.20
8192                    4.55
16384                   6.83
32768                  10.22
65536                  15.70
131072                 26.02
262144                 46.82
524288                 88.22
1048576               171.76
2097152               338.98
4194304               671.68
comet-21-19,comet-21-25
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.08
1                       1.13
2                       1.14
4                       1.15
8                       1.15
16                      1.17
32                      1.21
64                      1.23
128                     1.31
256                     1.84
512                     1.93
1024                    2.26
2048                    2.79
4096                    3.20
8192                    4.59
16384                   6.96
32768                  10.32
65536                  15.78
131072                 26.20
262144                 46.99
524288                 88.44
1048576               171.73
2097152               338.26
4194304               669.94
comet-21-19,comet-21-26
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.06
1                       1.13
2                       1.13
4                       1.14
8                       1.14
16                      1.15
32                      1.15
64                      1.19
128                     1.27
256                     1.82
512                     1.87
1024                    2.22
2048                    2.75
4096                    3.18
8192                    4.54
16384                   6.74
32768                  10.31
65536                  15.73
131072                 26.15
262144                 46.90
524288                 88.47
1048576               171.48
2097152               337.96
4194304               670.29
comet-21-19,comet-21-27
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.10
1                       1.19
2                       1.18
4                       1.18
8                       1.15
16                      1.19
32                      1.21
64                      1.24
128                     1.30
256                     1.82
512                     1.93
1024                    2.28
2048                    2.77
4096                    3.20
8192                    4.56
16384                   7.02
32768                  10.23
65536                  15.70
131072                 26.30
262144                 47.07
524288                 88.31
1048576               172.37
2097152               338.32
4194304               672.00
comet-21-19,comet-21-28
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.05
1                       1.11
2                       1.13
4                       1.12
8                       1.12
16                      1.13
32                      1.14
64                      1.18
128                     1.28
256                     1.81
512                     1.94
1024                    2.27
2048                    2.78
4096                    3.19
8192                    4.49
16384                   6.85
32768                  10.22
65536                  15.63
131072                 26.03
262144                 47.76
524288                 88.19
1048576               171.11
2097152               338.04
4194304               671.22
comet-21-19,comet-21-29
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.10
1                       1.15
2                       1.16
4                       1.16
8                       1.17
16                      1.19
32                      1.20
64                      1.24
128                     1.32
256                     1.88
512                     1.99
1024                    2.28
2048                    2.80
4096                    3.23
8192                    4.53
16384                   6.84
32768                  10.37
65536                  15.80
131072                 26.10
262144                 46.89
524288                 88.29
1048576               171.54
2097152               338.31
4194304               669.54
comet-21-19,comet-21-30
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.09
1                       1.16
2                       1.16
4                       1.16
8                       1.17
16                      1.18
32                      1.17
64                      1.23
