#,comet-1-37,comet-1-38,comet-1-39,comet-1-40,comet-1-41,comet-1-42,comet-1-43,comet-1-44,comet-1-45,comet-1-46,comet-1-47,comet-1-48,comet-1-49,comet-1-50,comet-1-51,comet-1-52,comet-1-53,comet-1-54
comet-1-37,0.0,1.1499999999999999,1.1000000000000001,1.1599999999999999,1.1200000000000001,1.1499999999999999,1.1100000000000001,1.1200000000000001,1.1399999999999999,1.1599999999999999,1.1200000000000001,1.0900000000000001,1.1499999999999999,1.1200000000000001,1.1499999999999999,1.1299999999999999,1.1100000000000001,1.1299999999999999
comet-1-38,1.1499999999999999,0.0,1.1399999999999999,1.1399999999999999,1.1100000000000001,1.1299999999999999,1.1299999999999999,1.1899999999999999,1.2,1.1200000000000001,1.1200000000000001,1.1200000000000001,1.1000000000000001,1.1100000000000001,1.1299999999999999,1.1000000000000001,1.1100000000000001,1.1399999999999999
comet-1-39,1.1000000000000001,1.1399999999999999,0.0,1.1200000000000001,1.1000000000000001,1.2,1.1000000000000001,1.1699999999999999,1.1299999999999999,1.1399999999999999,1.1299999999999999,1.1000000000000001,1.1299999999999999,1.1100000000000001,1.1200000000000001,1.1599999999999999,1.1100000000000001,1.1299999999999999
comet-1-40,1.1599999999999999,1.1399999999999999,1.1200000000000001,0.0,1.0900000000000001,1.1299999999999999,1.1100000000000001,1.1000000000000001,1.1100000000000001,1.1399999999999999,1.1299999999999999,1.1100000000000001,1.1100000000000001,1.1100000000000001,1.1200000000000001,1.1399999999999999,1.1499999999999999,1.1299999999999999
comet-1-41,1.1200000000000001,1.1100000000000001,1.1000000000000001,1.0900000000000001,0.0,1.1100000000000001,1.1399999999999999,1.1299999999999999,1.1000000000000001,1.1599999999999999,1.1499999999999999,1.1200000000000001,1.1299999999999999,1.1100000000000001,1.1200000000000001,1.1100000000000001,1.1899999999999999,1.1699999999999999
comet-1-42,1.1499999999999999,1.1299999999999999,1.2,1.1299999999999999,1.1100000000000001,0.0,1.1499999999999999,1.1699999999999999,1.1100000000000001,1.1899999999999999,1.1299999999999999,1.1000000000000001,1.1000000000000001,1.1299999999999999,1.1100000000000001,1.1299999999999999,1.1200000000000001,1.1200000000000001
comet-1-43,1.1100000000000001,1.1299999999999999,1.1000000000000001,1.1100000000000001,1.1399999999999999,1.1499999999999999,0.0,1.1100000000000001,1.1000000000000001,1.1299999999999999,1.1399999999999999,1.1299999999999999,1.1200000000000001,1.1100000000000001,1.1200000000000001,1.1899999999999999,1.1100000000000001,1.1399999999999999
comet-1-44,1.1200000000000001,1.1899999999999999,1.1699999999999999,1.1000000000000001,1.1299999999999999,1.1699999999999999,1.1100000000000001,0.0,1.1499999999999999,1.1200000000000001,1.23,1.1200000000000001,1.1299999999999999,1.1399999999999999,1.1200000000000001,1.1200000000000001,1.1499999999999999,1.1599999999999999
comet-1-45,1.1399999999999999,1.2,1.1299999999999999,1.1100000000000001,1.1000000000000001,1.1100000000000001,1.1000000000000001,1.1499999999999999,0.0,1.1399999999999999,1.1200000000000001,1.1100000000000001,1.1399999999999999,1.1200000000000001,1.1399999999999999,1.1200000000000001,1.1399999999999999,1.22
comet-1-46,1.1599999999999999,1.1200000000000001,1.1399999999999999,1.1399999999999999,1.1599999999999999,1.1899999999999999,1.1299999999999999,1.1200000000000001,1.1399999999999999,0.0,1.1100000000000001,1.1000000000000001,1.1100000000000001,1.1000000000000001,1.1299999999999999,1.1299999999999999,1.1000000000000001,1.1000000000000001
