comet-12-01,comet-12-02
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.06
1                       1.11
2                       1.14
4                       1.13
8                       1.13
16                      1.14
32                      1.15
64                      1.19
128                     1.29
256                     1.82
512                     1.94
1024                    2.28
2048                    2.78
4096                    3.21
8192                    4.54
16384                   6.74
32768                  10.23
65536                  15.67
131072                 26.25
262144                 46.77
524288                 88.26
1048576               171.64
2097152               337.83
4194304               670.57
comet-12-01,comet-12-03
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.07
1                       1.13
2                       1.13
4                       1.15
8                       1.13
16                      1.15
32                      1.16
64                      1.20
128                     1.30
256                     1.86
512                     1.98
1024                    2.30
2048                    2.80
4096                    3.22
8192                    4.55
16384                   6.85
32768                  10.27
65536                  15.69
131072                 26.45
262144                 46.89
524288                 88.23
1048576               171.29
2097152               338.47
4194304               669.44
comet-12-01,comet-12-04
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.04
1                       1.13
2                       1.14
4                       1.16
8                       1.16
16                      1.17
32                      1.19
64                      1.23
128                     1.31
256                     1.82
512                     1.95
1024                    2.28
2048                    2.78
4096                    3.20
8192                    4.57
16384                   6.74
32768                  10.19
65536                  15.64
131072                 26.01
262144                 46.75
524288                 88.07
1048576               171.28
2097152               338.77
4194304               669.60
comet-12-01,comet-12-05
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.11
1                       1.18
2                       1.19
4                       1.16
8                       1.17
16                      1.19
32                      1.21
64                      1.24
128                     1.34
256                     1.89
512                     2.00
1024                    2.30
2048                    2.82
4096                    3.25
8192                    4.60
16384                   7.14
32768                  10.47
65536                  15.91
131072                 26.29
262144                 47.02
524288                 88.30
1048576               171.33
2097152               337.99
4194304               668.97
comet-12-01,comet-12-06
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.08
1                       1.16
2                       1.13
4                       1.13
8                       1.14
16                      1.15
32                      1.17
64                      1.19
128                     1.30
256                     1.87
512                     1.96
1024                    2.30
2048                    2.80
4096                    3.22
8192                    4.59
16384                   6.80
32768                  10.27
65536                  15.72
131072                 26.43
262144                 46.85
524288                 88.18
1048576               171.46
2097152               337.90
4194304               668.75
comet-12-01,comet-12-07
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.06
1                       1.14
2                       1.14
4                       1.15
8                       1.14
16                      1.16
32                      1.19
64                      1.22
128                     1.32
256                     1.86
512                     1.95
1024                    2.29
2048                    2.79
4096                    3.22
8192                    4.54
16384                   6.84
32768                  10.23
65536                  15.67
131072                 26.07
262144                 46.71
524288                 88.15
1048576               171.91
2097152               339.15
4194304               669.90
comet-12-01,comet-12-08
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.12
1                       1.18
2                       1.18
4                       1.19
8                       1.19
16                      1.22
32                      1.22
64                      1.25
128                     1.34
256                     1.87
512                     2.00
1024                    2.31
2048                    2.82
4096                    3.23
8192                    4.53
16384                   6.84
32768                  10.36
65536                  15.80
131072                 26.22
262144                 46.84
524288                 88.26
1048576               171.87
2097152               338.05
4194304               669.64
comet-12-01,comet-12-09
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.11
1                       1.18
2                       1.19
4                       1.19
8                       1.19
16                      1.22
32                      1.27
64                      1.28
128                     1.38
256                     1.90
512                     2.02
1024                    2.21
2048                    2.74
4096                    3.22
8192                    4.61
16384                   6.98
32768                  10.25
65536                  15.87
131072                 26.17
262144                 46.77
524288                 88.23
1048576               171.66
2097152               337.93
4194304               670.08
comet-12-01,comet-12-10
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.06
1                       1.13
2                       1.15
4                       1.13
8                       1.13
16                      1.15
32                      1.17
64                      1.20
128                     1.28
256                     1.84
512                     1.94
1024                    2.27
2048                    2.79
4096                    3.20
8192                    4.54
16384                   6.75
32768                  10.22
65536                  15.70
131072                 26.04
262144                 46.88
524288                 88.17
1048576               171.64
2097152               337.13
4194304               669.39
comet-12-01,comet-12-11
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.08
1                       1.16
2                       1.16
4                       1.17
8                       1.16
16                      1.18
32                      1.19
64                      1.23
128                     1.34
256                     1.87
512                     1.98
1024                    2.30
2048                    2.80
4096                    3.23
8192                    4.52
16384                   6.89
32768                  10.35
65536                  15.79
131072                 26.14
262144                 46.96
524288                 88.37
1048576               172.67
2097152               338.61
4194304               670.05
comet-12-01,comet-12-12
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.04
1                       1.11
2                       1.12
4                       1.12
8                       1.13
16                      1.14
32                      1.15
64                      1.18
128                     1.28
256                     1.81
512                     1.93
1024                    2.27
2048                    2.76
4096                    3.19
8192                    4.52
16384                   6.82
32768                  10.16
65536                  15.62
131072                 25.96
262144                 46.66
524288                 88.08
1048576               171.03
2097152               337.60
4194304               668.60
comet-12-01,comet-12-13
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.06
1                       1.15
2                       1.16
4                       1.14
8                       1.15
16                      1.16
32                      1.18
64                      1.22
128                     1.30
256                     1.84
512                     1.96
1024                    2.28
2048                    2.77
4096                    3.15
8192                    4.57
16384                   6.87
32768                  10.10
65536                  15.83
131072                 26.18
262144                 46.86
524288                 88.10
1048576               171.49
2097152               337.89
4194304               669.08
comet-12-01,comet-12-14
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.06
1                       1.15
2                       1.14
4                       1.15
8                       1.14
16                      1.15
32                      1.17
64                      1.21
128                     1.30
256                     1.85
512                     1.96
1024                    2.27
2048                    2.78
4096                    3.20
8192                    4.55
16384                   6.87
32768                  10.27
65536                  15.75
131072                 26.96
262144                 46.81
524288                 88.11
1048576               171.42
2097152               338.13
4194304               669.41
comet-12-01,comet-12-15
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.07
1                       1.12
2                       1.14
4                       1.13
8                       1.15
16                      1.18
32                      1.17
64                      1.22
128                     1.30
256                     1.84
512                     1.96
1024                    2.29
2048                    2.80
4096                    3.23
8192                    4.53
16384                   6.86
32768                  10.47
65536                  15.93
131072                 26.34
262144                 47.20
524288                 88.42
1048576               171.87
2097152               337.85
4194304               669.44
comet-12-01,comet-12-16
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.05
1                       1.15
2                       1.14
4                       1.14
8                       1.14
16                      1.17
32                      1.17
64                      1.21
128                     1.31
256                     1.86
512                     1.97
1024                    2.29
2048                    2.80
4096                    3.23
8192                    4.56
16384                   6.88
32768                  10.30
65536                  15.72
131072                 26.11
262144                 46.89
524288                 88.26
1048576               171.59
2097152               338.40
4194304               670.36
comet-12-01,comet-12-17
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.05
1                       1.12
2                       1.15
4                       1.14
8                       1.14
16                      1.15
32                      1.16
64                      1.20
128                     1.29
256                     1.84
512                     1.96
1024                    2.28
2048                    2.80
4096                    3.21
8192                    4.56
16384                   6.95
32768                  10.40
65536                  16.01
131072                 26.04
262144                 46.78
524288                 88.28
1048576               171.81
2097152               337.86
4194304               669.42
comet-12-01,comet-12-18
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.06
1                       1.14
2                       1.15
4                       1.14
8                       1.14
16                      1.16
32                      1.18
64                      1.22
128                     1.30
256                     1.85
512                     1.96
1024                    2.28
2048                    2.80
4096                    3.22
8192                    4.56
16384                   6.84
32768                  10.26
65536                  15.74
131072                 26.38
262144                 46.81
524288                 88.16
1048576               171.59
