comet-21-01,comet-21-02
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.04
1                       1.13
2                       1.13
4                       1.14
8                       1.15
16                      1.16
32                      1.17
64                      1.21
128                     1.30
256                     1.84
512                     1.95
1024                    2.28
2048                    2.78
4096                    3.21
8192                    4.53
16384                   6.90
32768                  10.21
65536                  15.59
131072                 26.02
262144                 46.73
524288                 89.00
1048576               171.81
2097152               338.55
4194304               670.02
comet-21-01,comet-21-03
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.11
1                       1.18
2                       1.20
4                       1.22
8                       1.22
16                      1.23
32                      1.25
64                      1.29
128                     1.37
256                     1.93
512                     2.04
1024                    2.32
2048                    2.78
4096                    3.21
8192                    4.55
16384                   6.75
32768                  10.31
65536                  15.89
131072                 26.09
262144                 46.84
524288                 88.24
1048576               172.49
2097152               337.59
4194304               670.85
comet-21-01,comet-21-04
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.05
1                       1.11
2                       1.13
4                       1.13
8                       1.13
16                      1.14
32                      1.16
64                      1.21
128                     1.29
256                     1.81
512                     1.94
1024                    2.26
2048                    2.76
4096                    3.19
8192                    4.51
16384                   6.80
32768                  10.19
65536                  15.62
131072                 26.17
262144                 46.73
524288                 88.23
1048576               172.08
2097152               337.95
4194304               669.59
comet-21-01,comet-21-05
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.06
1                       1.12
2                       1.14
4                       1.15
8                       1.14
16                      1.17
32                      1.17
64                      1.23
128                     1.30
256                     1.87
512                     1.97
1024                    2.28
2048                    2.79
4096                    3.22
8192                    4.53
16384                   6.87
32768                  10.47
65536                  15.87
131072                 26.56
262144                 47.16
524288                 88.51
1048576               172.19
2097152               338.82
4194304               669.58
comet-21-01,comet-21-06
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.08
1                       1.15
2                       1.15
4                       1.16
8                       1.16
16                      1.17
32                      1.17
64                      1.20
128                     1.28
256                     1.85
512                     1.97
1024                    2.29
2048                    2.80
4096                    3.23
8192                    4.50
16384                   6.91
32768                  10.29
65536                  15.74
131072                 26.11
262144                 46.80
524288                 88.21
1048576               171.57
2097152               337.94
4194304               669.35
comet-21-01,comet-21-07
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.08
1                       1.14
2                       1.14
4                       1.13
8                       1.13
16                      1.14
32                      1.15
64                      1.20
128                     1.28
256                     1.83
512                     1.94
1024                    2.25
2048                    2.76
4096                    3.19
8192                    4.54
16384                   6.80
32768                  10.28
65536                  15.70
131072                 26.11
262144                 46.83
524288                 88.23
1048576               171.87
2097152               338.07
4194304               670.24
comet-21-01,comet-21-08
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.04
1                       1.11
2                       1.14
4                       1.14
8                       1.15
16                      1.15
32                      1.17
64                      1.23
128                     1.33
256                     1.83
512                     1.95
1024                    2.27
2048                    2.77
4096                    3.20
8192                    4.51
16384                   6.92
32768                  10.18
65536                  15.66
131072                 26.09
262144                 46.70
524288                 88.37
1048576               171.24
2097152               338.10
4194304               669.52
comet-21-01,comet-21-09
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.05
1                       1.12
2                       1.13
4                       1.14
8                       1.13
16                      1.14
32                      1.16
64                      1.20
128                     1.28
256                     1.80
512                     1.93
1024                    2.26
2048                    2.76
4096                    3.20
8192                    4.57
16384                   6.98
32768                  10.19
65536                  15.64
131072                 26.12
262144                 46.84
524288                 88.14
1048576               171.89
2097152               337.62
4194304               669.64
comet-21-01,comet-21-10
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.12
1                       1.20
2                       1.21
4                       1.20
8                       1.20
16                      1.23
32                      1.25
64                      1.27
128                     1.38
256                     1.91
512                     2.02
1024                    2.31
2048                    2.84
4096                    3.25
8192                    4.51
16384                   6.72
32768                  10.38
65536                  15.77
131072                 26.20
262144                 46.92
524288                 88.91
1048576               171.69
2097152               338.05
4194304               669.18
comet-21-01,comet-21-11
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.15
1                       1.17
2                       1.16
4                       1.15
8                       1.17
16                      1.20
32                      1.19
64                      1.23
128                     1.32
256                     1.87
512                     1.97
1024                    2.29
2048                    2.80
4096                    3.23
8192                    4.55
16384                   6.87
32768                  10.29
65536                  15.97
131072                 26.39
262144                 46.95
524288                 89.04
1048576               172.53
2097152               338.64
4194304               670.69
comet-21-01,comet-21-12
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.16
1                       1.19
2                       1.18
4                       1.19
8                       1.19
16                      1.19
32                      1.21
64                      1.26
128                     1.34
256                     1.90
512                     2.00
1024                    2.31
2048                    2.82
4096                    3.25
8192                    4.56
16384                   7.06
32768                  10.37
65536                  15.86
131072                 26.20
262144                 46.90
524288                 88.50
1048576               171.63
2097152               338.46
4194304               669.85
comet-21-01,comet-21-13
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.09
1                       1.16
2                       1.16
4                       1.15
8                       1.15
16                      1.16
32                      1.16
64                      1.21
128                     1.30
256                     1.86
512                     1.97
1024                    2.28
2048                    2.78
4096                    3.22
8192                    4.52
16384                   6.83
32768                  10.29
65536                  15.71
131072                 26.57
262144                 46.94
524288                 88.30
1048576               171.48
2097152               338.49
4194304               671.42
comet-21-01,comet-21-14
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.09
1                       1.15
2                       1.14
4                       1.15
8                       1.15
16                      1.17
32                      1.17
64                      1.21
128                     1.30
256                     1.86
512                     1.98
1024                    2.29
2048                    2.81
4096                    3.22
8192                    4.54
16384                   7.04
32768                  10.29
65536                  15.75
131072                 26.15
262144                 46.90
524288                 88.33
1048576               171.86
2097152               337.75
4194304               670.84
comet-21-01,comet-21-15
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.04
1                       1.14
2                       1.14
4                       1.14
8                       1.14
16                      1.15
32                      1.15
64                      1.21
128                     1.29
256                     1.82
512                     1.94
1024                    2.27
2048                    2.77
4096                    3.20
8192                    4.56
16384                   6.99
32768                  10.18
65536                  15.63
131072                 26.31
262144                 46.81
524288                 88.04
1048576               171.51
2097152               338.14
4194304               669.39
comet-21-01,comet-21-16
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.10
1                       1.16
2                       1.18
4                       1.19
8                       1.17
16                      1.18
32                      1.18
64                      1.23
128                     1.33
256                     1.88
512                     2.01
1024                    2.30
2048                    2.81
4096                    3.24
8192                    4.57
16384                   6.92
32768                  10.33
65536                  15.79
131072                 26.19
262144                 46.89
524288                 88.39
1048576               171.82
2097152               338.40
4194304               671.30
comet-21-01,comet-21-17
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.15
1                       1.21
2                       1.21
4                       1.19
8                       1.19
16                      1.21
32                      1.22
64                      1.26
128                     1.35
256                     1.89
512                     2.00
1024                    2.31
2048                    2.82
4096                    3.24
8192                    4.53
16384                   6.72
32768                  10.37
65536                  15.86
131072                 26.27
262144                 47.00
524288                 89.22
1048576               171.79
2097152               338.75
4194304               670.98
comet-21-01,comet-21-18
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.07
1                       1.18
2                       1.16
4                       1.17
8                       1.17
16                      1.19
32                      1.20
64                      1.24
128                     1.32
256                     1.85
512                     1.97
1024                    2.29
2048                    2.81
4096                    3.22
8192                    4.53
16384                   6.94
32768                  10.32
65536                  15.93
131072                 26.33
262144                 46.81
524288                 88.24
1048576               171.81
2097152               337.86
4194304               669.22
comet-21-02,comet-21-03
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.04
1                       1.11
2                       1.18
4                       1.16
8                       1.17
16                      1.14
32                      1.18
64                      1.19
128                     1.30
256                     1.86
512                     1.98
1024                    2.30
2048                    2.81
4096                    3.22
8192                    4.54
16384                   6.87
32768                  10.42
65536                  15.85
131072                 26.22
262144                 46.86
524288                 88.36
1048576               172.05
2097152               338.23
4194304               670.96
comet-21-02,comet-21-04
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.05
1                       1.11
2                       1.11
4                       1.11
8                       1.11
16                      1.13
32                      1.14
64                      1.19
128                     1.28
256                     1.78
512                     1.89
1024                    2.25
2048                    2.75
4096                    3.19
8192                    4.56
16384                   6.87
32768                  10.04
65536                  15.47
131072                 26.04
262144                 46.57
524288                 87.93
1048576               171.87
2097152               337.74
4194304               669.55
comet-21-02,comet-21-05
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.07
1                       1.12
2                       1.11
4                       1.11
8                       1.10
16                      1.11
32                      1.13
64                      1.16
128                     1.25
256                     1.77
512                     1.88
1024                    2.23
2048                    2.72
4096                    3.14
8192                    4.53
16384                   6.80
32768                  10.03
65536                  15.45
131072                 25.83
262144                 46.51
524288                 87.92
1048576               171.52
2097152               337.67
4194304               669.65
comet-21-02,comet-21-06
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.22
1                       1.28
2                       1.26
4                       1.24
8                       1.24
16                      1.25
32                      1.27
64                      1.32
128                     1.42
256                     1.93
512                     2.05
1024                    2.34
2048                    2.84
4096                    3.27
8192                    4.59
16384                   7.00
32768                  10.37
65536                  15.82
131072                 26.19
262144                 46.93
524288                 88.41
1048576               171.97
2097152               337.88
4194304               669.69
comet-21-02,comet-21-07
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.03
1                       1.10
2                       1.10
4                       1.10
8                       1.10
16                      1.11
32                      1.12
64                      1.16
128                     1.25
256                     1.75
512                     1.87
1024                    2.22
2048                    2.74
4096                    3.15
8192                    4.54
16384                   6.88
32768                  10.04
65536                  15.41
131072                 25.81
262144                 46.53
524288                 88.02
1048576               171.87
2097152               338.31
4194304               668.89
comet-21-02,comet-21-08
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.04
1                       1.10
2                       1.13
4                       1.12
8                       1.14
16                      1.16
32                      1.19
64                      1.22
128                     1.30
256                     1.85
512                     1.96
1024                    2.30
2048                    2.79
4096                    3.21
8192                    4.56
16384                   6.83
32768                  10.19
65536                  15.72
131072                 26.09
262144                 46.79
524288                 88.10
1048576               171.48
2097152               338.45
4194304               668.39
comet-21-02,comet-21-09
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.05
1                       1.11
2                       1.11
4                       1.11
8                       1.11
16                      1.14
32                      1.14
64                      1.18
128                     1.28
256                     1.73
512                     1.82
1024                    2.19
2048                    2.71
4096                    3.15
8192                    4.51
16384                   6.98
32768                  10.27
65536                  15.73
131072                 26.13
262144                 46.83
524288                 88.27
1048576               172.22
2097152               338.12
4194304               671.98
comet-21-02,comet-21-10
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.03
1                       1.09
2                       1.09
4                       1.09
8                       1.10
16                      1.11
32                      1.12
64                      1.16
128                     1.24
256                     1.76
512                     1.87
1024                    2.24
2048                    2.73
4096                    3.16
8192                    4.57
16384                   6.86
32768                  10.03
65536                  15.50
131072                 25.83
262144                 46.53
524288                 87.97
1048576               171.15
2097152               338.00
4194304               670.11
comet-21-02,comet-21-11
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.10
1                       1.15
2                       1.14
4                       1.15
8                       1.14
16                      1.16
32                      1.16
64                      1.19
128                     1.28
256                     1.81
512                     1.93
1024                    2.25
2048                    2.72
4096                    3.18
8192                    4.64
16384                   6.97
32768                  10.24
65536                  15.70
131072                 26.05
262144                 46.86
524288                 88.31
1048576               171.70
2097152               338.47
4194304               670.58
comet-21-02,comet-21-12
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.04
1                       1.10
2                       1.10
4                       1.11
8                       1.10
16                      1.13
32                      1.17
64                      1.20
128                     1.30
256                     1.84
512                     1.83
1024                    2.20
2048                    2.71
4096                    3.15
8192                    4.54
16384                   6.87
32768                  10.09
65536                  15.53
131072                 25.89
262144                 46.65
524288                 88.31
1048576               171.94
2097152               337.63
4194304               671.20
comet-21-02,comet-21-13
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.12
1                       1.17
2                       1.19
4                       1.17
8                       1.17
16                      1.18
32                      1.19
64                      1.22
128                     1.31
256                     1.85
512                     1.96
1024                    2.28
2048                    2.78
4096                    3.20
8192                    4.55
16384                   6.84
32768                  10.19
65536                  15.70
131072                 26.05
262144                 46.78
524288                 88.30
1048576               171.73
2097152               338.53
4194304               670.81
comet-21-02,comet-21-14
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.08
1                       1.13
2                       1.14
4                       1.13
8                       1.15
16                      1.15
32                      1.17
64                      1.20
128                     1.30
256                     1.83
512                     1.95
1024                    2.27
2048                    2.77
4096                    3.19
8192                    4.52
16384                   6.91
32768                  10.19
65536                  15.60
131072                 26.02
262144                 46.76
524288                 88.18
1048576               171.78
2097152               338.31
4194304               670.39
comet-21-02,comet-21-15
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.13
1                       1.18
2                       1.19
4                       1.19
8                       1.18
16                      1.18
32                      1.20
64                      1.23
128                     1.32
256                     1.84
512                     1.96
1024                    2.28
2048                    2.78
4096                    3.21
8192                    4.53
16384                   6.92
32768                  10.20
65536                  15.64
131072                 26.00
262144                 46.66
524288                 88.11
1048576               171.42
2097152               338.16
4194304               669.98
comet-21-02,comet-21-16
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.10
1                       1.16
2                       1.15
4                       1.16
8                       1.16
16                      1.16
32                      1.19
64                      1.22
128                     1.31
256                     1.84
512                     1.94
1024                    2.28
2048                    2.80
4096                    3.20
8192                    4.54
16384                   6.85
32768                  10.16
65536                  15.63
131072                 26.04
262144                 46.68
524288                 88.74
1048576               171.46
2097152               338.42
4194304               669.90
comet-21-02,comet-21-17
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.07
1                       1.12
2                       1.12
4                       1.14
8                       1.12
16                      1.15
32                      1.16
64                      1.20
128                     1.29
256                     1.81
512                     1.91
1024                    2.26
2048                    2.76
4096                    3.19
8192                    4.58
16384                   6.89
32768                  10.08
65536                  15.53
131072                 25.87
262144                 46.50
524288                 88.03
1048576               171.64
2097152               337.63
4194304               669.36
comet-21-02,comet-21-18
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.10
1                       1.15
2                       1.14
4                       1.14
8                       1.14
16                      1.16
32                      1.18
64                      1.23
128                     1.30
256                     1.82
512                     1.95
1024                    2.27
2048                    2.79
4096                    3.20
8192                    4.53
16384                   6.87
32768                  10.16
65536                  15.63
131072                 25.93
262144                 46.68
524288                 88.06
1048576               171.29
2097152               338.28
4194304               668.19
comet-21-03,comet-21-04
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.05
1                       1.13
2                       1.13
4                       1.13
8                       1.13
16                      1.12
32                      1.16
64                      1.20
128                     1.27
256                     1.78
512                     1.90
1024                    2.24
2048                    2.73
4096                    3.16
8192                    4.53
16384                   6.84
32768                  10.07
65536                  15.46
131072                 25.95
262144                 46.49
524288                 87.87
1048576               171.37
2097152               337.52
4194304               669.78
comet-21-03,comet-21-05
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.12
1                       1.16
2                       1.15
4                       1.14
8                       1.14
16                      1.16
32                      1.20
64                      1.24
128                     1.33
256                     1.84
512                     1.97
1024                    2.28
2048                    2.79
4096                    3.24
8192                    4.58
16384                   6.82
32768                  10.27
65536                  16.07
131072                 26.30
262144                 46.78
524288                 88.55
1048576               171.10
2097152               337.81
4194304               669.53
comet-21-03,comet-21-06
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.07
1                       1.13
2                       1.12
4                       1.13
8                       1.13
16                      1.14
32                      1.16
64                      1.20
128                     1.29
256                     1.83
512                     1.95
1024                    2.29
2048                    2.79
4096                    3.21
8192                    4.55
16384                   6.83
32768                  10.22
65536                  15.64
131072                 26.03
262144                 46.67
524288                 88.08
1048576               171.87
2097152               337.86
4194304               668.95
comet-21-03,comet-21-07
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.03
1                       1.10
2                       1.10
4                       1.10
