#,comet-2-19,comet-2-20,comet-2-21,comet-2-22,comet-2-23,comet-2-24,comet-2-25,comet-2-26,comet-2-27,comet-2-28,comet-2-29,comet-2-30,comet-2-31,comet-2-32,comet-2-33,comet-2-34,comet-2-35,comet-2-36
comet-2-19,0.0,1.1200000000000001,1.1399999999999999,1.1299999999999999,1.1200000000000001,1.1799999999999999,1.1799999999999999,1.2,1.1200000000000001,1.1499999999999999,1.1799999999999999,1.1399999999999999,1.1200000000000001,1.1100000000000001,1.1200000000000001,1.1799999999999999,1.1399999999999999,1.1100000000000001
comet-2-20,1.1200000000000001,0.0,1.1499999999999999,1.1399999999999999,1.1200000000000001,1.1299999999999999,1.1299999999999999,1.1299999999999999,1.1299999999999999,1.1399999999999999,1.1000000000000001,1.1000000000000001,1.1200000000000001,1.1599999999999999,1.24,1.1299999999999999,1.1200000000000001,1.1200000000000001
comet-2-21,1.1399999999999999,1.1499999999999999,0.0,1.1200000000000001,1.1499999999999999,1.1899999999999999,1.1699999999999999,1.1599999999999999,1.1299999999999999,1.1399999999999999,1.1299999999999999,1.1299999999999999,1.1100000000000001,1.1299999999999999,1.1200000000000001,1.0900000000000001,1.1299999999999999,1.1000000000000001
comet-2-22,1.1299999999999999,1.1399999999999999,1.1200000000000001,0.0,1.1200000000000001,1.1000000000000001,1.1100000000000001,1.1100000000000001,1.1000000000000001,1.1399999999999999,1.1000000000000001,1.1200000000000001,1.1299999999999999,1.1200000000000001,1.1200000000000001,1.1299999999999999,1.1299999999999999,1.1200000000000001
comet-2-23,1.1200000000000001,1.1200000000000001,1.1499999999999999,1.1200000000000001,0.0,1.1299999999999999,1.1100000000000001,1.1200000000000001,1.1000000000000001,1.1100000000000001,1.1499999999999999,1.1399999999999999,1.1200000000000001,1.1899999999999999,1.1399999999999999,1.1399999999999999,1.1200000000000001,1.1599999999999999
comet-2-24,1.1799999999999999,1.1299999999999999,1.1899999999999999,1.1000000000000001,1.1299999999999999,0.0,1.1399999999999999,1.1100000000000001,1.1799999999999999,1.1200000000000001,1.1100000000000001,1.1200000000000001,1.1200000000000001,1.1100000000000001,1.1399999999999999,1.1100000000000001,1.1299999999999999,1.1200000000000001
comet-2-25,1.1799999999999999,1.1299999999999999,1.1699999999999999,1.1100000000000001,1.1100000000000001,1.1399999999999999,0.0,1.1100000000000001,1.1100000000000001,1.1100000000000001,1.0900000000000001,1.1100000000000001,1.1100000000000001,1.1100000000000001,1.2,1.1100000000000001,1.1100000000000001,1.1100000000000001
comet-2-26,1.2,1.1299999999999999,1.1599999999999999,1.1100000000000001,1.1200000000000001,1.1100000000000001,1.1100000000000001,0.0,1.1000000000000001,1.1000000000000001,1.1200000000000001,1.1000000000000001,1.1100000000000001,1.1200000000000001,1.1000000000000001,1.1200000000000001,1.1000000000000001,1.1100000000000001
comet-2-27,1.1200000000000001,1.1299999999999999,1.1299999999999999,1.1000000000000001,1.1000000000000001,1.1799999999999999,1.1100000000000001,1.1000000000000001,0.0,1.1000000000000001,1.1599999999999999,1.1000000000000001,1.1000000000000001,1.1100000000000001,1.1200000000000001,1.1299999999999999,1.1000000000000001,1.1399999999999999
comet-2-28,1.1499999999999999,1.1399999999999999,1.1399999999999999,1.1399999999999999,1.1100000000000001,1.1200000000000001,1.1100000000000001,1.1000000000000001,1.1000000000000001,0.0,1.1100000000000001,1.1799999999999999,1.1100000000000001,1.1100000000000001,1.1200000000000001,1.1100000000000001,1.1000000000000001,1.1000000000000001
comet-2-29,1.1799999999999999,1.1000000000000001,1.1299999999999999,1.1000000000000001,1.1499999999999999,1.1100000000000001,1.0900000000000001,1.1200000000000001,1.1599999999999999,1.1100000000000001,0.0,1.1599999999999999,1.1100000000000001,1.0900000000000001,1.1100000000000001,1.1200000000000001,1.1200000000000001,1.1499999999999999
comet-2-30,1.1399999999999999,1.1000000000000001,1.1299999999999999,1.1200000000000001,1.1399999999999999,1.1200000000000001,1.1100000000000001,1.1000000000000001,1.1000000000000001,1.1799999999999999,1.1599999999999999,0.0,1.0900000000000001,1.1200000000000001,1.1100000000000001,1.1200000000000001,1.1100000000000001,1.1599999999999999
comet-2-31,1.1200000000000001,1.1200000000000001,1.1100000000000001,1.1299999999999999,1.1200000000000001,1.1200000000000001,1.1100000000000001,1.1100000000000001,1.1000000000000001,1.1100000000000001,1.1100000000000001,1.0900000000000001,0.0,1.1399999999999999,1.1200000000000001,1.1200000000000001,1.1200000000000001,1.1100000000000001
