comet-10-01,comet-10-02
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.12
1                       1.17
2                       1.15
4                       1.13
8                       1.13
16                      1.13
32                      1.15
64                      1.20
128                     1.29
256                     1.83
512                     1.94
1024                    2.26
2048                    2.76
4096                    3.21
8192                    4.55
16384                   6.95
32768                  10.30
65536                  15.67
131072                 26.06
262144                 46.84
524288                 88.17
1048576               171.66
2097152               338.53
4194304               669.34
comet-10-01,comet-10-03
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.12
1                       1.18
2                       1.18
4                       1.17
8                       1.16
16                      1.20
32                      1.21
64                      1.23
128                     1.32
256                     1.89
512                     2.01
1024                    2.31
2048                    2.81
4096                    3.25
8192                    4.55
16384                   6.87
32768                  10.41
65536                  15.88
131072                 26.32
262144                 46.95
524288                 88.49
1048576               171.99
2097152               338.21
4194304               670.79
comet-10-01,comet-10-04
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.05
1                       1.14
2                       1.14
4                       1.14
8                       1.14
16                      1.15
32                      1.17
64                      1.21
128                     1.30
256                     1.83
512                     1.94
1024                    2.27
2048                    2.76
4096                    3.20
8192                    4.54
16384                   6.87
32768                  10.21
65536                  15.68
131072                 26.39
262144                 46.94
524288                 88.32
1048576               171.43
2097152               338.13
4194304               670.14
comet-10-01,comet-10-05
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.05
1                       1.13
2                       1.14
4                       1.14
8                       1.16
16                      1.17
32                      1.19
64                      1.21
128                     1.33
256                     1.87
512                     1.92
1024                    2.12
2048                    2.65
4096                    3.14
8192                    4.54
16384                   6.97
32768                  10.20
65536                  15.66
131072                 26.15
262144                 46.77
524288                 88.80
1048576               171.34
2097152               337.74
4194304               669.19
comet-10-01,comet-10-06
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.08
1                       1.15
2                       1.15
4                       1.15
8                       1.17
16                      1.17
32                      1.18
64                      1.21
128                     1.31
256                     1.86
512                     1.98
1024                    2.30
2048                    2.81
4096                    3.22
8192                    4.56
16384                   6.95
32768                  10.29
65536                  15.89
131072                 26.11
262144                 46.86
524288                 88.41
1048576               172.41
2097152               338.52
4194304               669.79
comet-10-01,comet-10-07
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.07
1                       1.12
2                       1.14
4                       1.11
8                       1.14
16                      1.15
32                      1.16
64                      1.19
128                     1.28
256                     1.82
512                     1.93
1024                    2.27
2048                    2.74
4096                    3.17
8192                    4.55
16384                   6.83
32768                  10.22
65536                  15.67
131072                 26.07
262144                 46.79
524288                 88.33
1048576               172.40
2097152               338.82
