#,comet-6-55,comet-6-56,comet-6-57,comet-6-58,comet-6-59,comet-6-60,comet-6-61,comet-6-62,comet-6-63,comet-6-64,comet-6-65,comet-6-66,comet-6-67,comet-6-68,comet-6-69,comet-6-70,comet-6-71,comet-6-72
comet-6-55,0.0,1.1299999999999999,1.1499999999999999,1.1899999999999999,1.1399999999999999,1.1299999999999999,1.1399999999999999,1.1399999999999999,1.2,1.1200000000000001,1.23,1.1699999999999999,1.1599999999999999,1.1499999999999999,1.1799999999999999,1.2,1.1299999999999999,1.1399999999999999
comet-6-56,1.1299999999999999,0.0,1.1200000000000001,1.1299999999999999,1.1200000000000001,1.1100000000000001,1.1000000000000001,1.1499999999999999,1.1599999999999999,1.1100000000000001,1.1299999999999999,1.1200000000000001,1.1200000000000001,1.1000000000000001,1.22,1.1299999999999999,1.2,1.1399999999999999
comet-6-57,1.1499999999999999,1.1200000000000001,0.0,1.1399999999999999,1.1200000000000001,1.1100000000000001,1.1000000000000001,1.1200000000000001,1.1100000000000001,1.1299999999999999,1.1200000000000001,1.1000000000000001,1.1200000000000001,1.1200000000000001,1.1399999999999999,1.1699999999999999,1.1200000000000001,1.1899999999999999
comet-6-58,1.1899999999999999,1.1299999999999999,1.1399999999999999,0.0,1.1299999999999999,1.1799999999999999,1.1100000000000001,1.1399999999999999,1.1599999999999999,1.1200000000000001,1.1100000000000001,1.1000000000000001,1.1100000000000001,1.1299999999999999,1.1200000000000001,1.1499999999999999,1.1000000000000001,1.1200000000000001
comet-6-59,1.1399999999999999,1.1200000000000001,1.1200000000000001,1.1299999999999999,0.0,1.1100000000000001,1.1200000000000001,1.1200000000000001,1.1100000000000001,1.1100000000000001,1.1299999999999999,1.1100000000000001,1.1200000000000001,1.1799999999999999,1.1200000000000001,1.1100000000000001,1.1299999999999999,1.1200000000000001
comet-6-60,1.1299999999999999,1.1100000000000001,1.1100000000000001,1.1799999999999999,1.1100000000000001,0.0,1.1000000000000001,1.1000000000000001,1.2,1.1200000000000001,1.1200000000000001,1.1000000000000001,1.1000000000000001,1.1399999999999999,1.1100000000000001,1.1100000000000001,1.1100000000000001,1.1100000000000001
comet-6-61,1.1399999999999999,1.1000000000000001,1.1000000000000001,1.1100000000000001,1.1200000000000001,1.1000000000000001,0.0,1.1200000000000001,1.1000000000000001,1.1799999999999999,1.1200000000000001,1.1200000000000001,1.1100000000000001,1.1000000000000001,1.1299999999999999,1.1000000000000001,1.1100000000000001,1.1200000000000001
comet-6-62,1.1399999999999999,1.1499999999999999,1.1200000000000001,1.1399999999999999,1.1200000000000001,1.1000000000000001,1.1200000000000001,0.0,1.1200000000000001,1.1200000000000001,1.1000000000000001,1.1200000000000001,1.1100000000000001,1.1100000000000001,1.1200000000000001,1.1699999999999999,1.1000000000000001,1.1000000000000001
comet-6-63,1.2,1.1599999999999999,1.1100000000000001,1.1599999999999999,1.1100000000000001,1.2,1.1000000000000001,1.1200000000000001,0.0,1.1599999999999999,1.1699999999999999,1.1000000000000001,1.1699999999999999,1.1100000000000001,1.1100000000000001,1.0900000000000001,1.1399999999999999,1.1200000000000001
comet-6-64,1.1200000000000001,1.1100000000000001,1.1299999999999999,1.1200000000000001,1.1100000000000001,1.1200000000000001,1.1799999999999999,1.1200000000000001,1.1599999999999999,0.0,1.1000000000000001,1.1100000000000001,1.1299999999999999,1.1699999999999999,1.1000000000000001,1.1200000000000001,1.1200000000000001,1.1499999999999999
