comet-02-55,comet-02-56
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.07
1                       1.13
2                       1.12
4                       1.12
8                       1.12
16                      1.13
32                      1.15
64                      1.19
128                     1.28
256                     1.81
512                     1.93
1024                    2.27
2048                    2.80
4096                    3.20
8192                    4.51
16384                   6.73
32768                  10.24
65536                  15.74
131072                 26.34
262144                 46.90
524288                 88.17
1048576               171.43
2097152               338.05
4194304               668.95
comet-02-55,comet-02-57
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.12
1                       1.18
2                       1.17
4                       1.18
8                       1.18
16                      1.17
32                      1.19
64                      1.25
128                     1.32
256                     1.86
512                     1.98
1024                    2.30
2048                    2.80
4096                    3.24
8192                    4.55
16384                   6.82
32768                  10.37
65536                  15.80
131072                 26.17
262144                 46.87
524288                 88.28
1048576               172.02
2097152               338.74
4194304               668.75
comet-02-55,comet-02-58
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.08
1                       1.16
2                       1.14
4                       1.14
8                       1.13
16                      1.14
32                      1.18
64                      1.20
128                     1.30
256                     1.85
512                     1.98
1024                    2.30
2048                    2.79
4096                    3.24
8192                    4.55
16384                   6.79
32768                  10.33
65536                  15.75
131072                 26.07
262144                 46.77
524288                 88.19
1048576               171.38
2097152               337.39
4194304               669.01
comet-02-55,comet-02-59
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.12
1                       1.18
2                       1.19
4                       1.19
8                       1.21
16                      1.21
32                      1.22
64                      1.26
128                     1.33
256                     1.88
512                     2.00
1024                    2.27
2048                    2.72
4096                    3.17
8192                    4.52
16384                   7.05
32768                  10.43
65536                  15.78
131072                 26.07
262144                 46.77
524288                 88.17
1048576               170.87
2097152               338.03
4194304               668.70
comet-02-55,comet-02-60
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.06
1                       1.15
2                       1.16
4                       1.15
8                       1.16
16                      1.18
32                      1.17
64                      1.24
128                     1.31
256                     1.84
512                     1.95
1024                    2.30
2048                    2.79
4096                    3.21
8192                    4.56
16384                   7.10
32768                  10.21
65536                  15.69
131072                 26.05
262144                 46.78
524288                 88.08
1048576               171.05
2097152               337.92
4194304               668.74
comet-02-55,comet-02-61
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.11
1                       1.19
2                       1.19
4                       1.20
8                       1.20
16                      1.21
32                      1.24
64                      1.27
128                     1.36
256                     1.91
512                     2.00
1024                    2.33
2048                    2.84
4096                    3.25
8192                    4.53
16384                   6.81
32768                  10.42
