#,comet-4-37,comet-4-38,comet-4-39,comet-4-40,comet-4-41,comet-4-42,comet-4-43,comet-4-44,comet-4-45,comet-4-46,comet-4-47,comet-4-48,comet-4-49,comet-4-50,comet-4-51,comet-4-52,comet-4-53,comet-4-54
comet-4-37,0.0,1.1200000000000001,1.1200000000000001,1.1599999999999999,1.1399999999999999,1.1200000000000001,1.1200000000000001,1.1899999999999999,1.1100000000000001,1.1299999999999999,1.1100000000000001,1.1200000000000001,1.1200000000000001,1.1299999999999999,1.1200000000000001,1.1100000000000001,1.1299999999999999,1.1100000000000001
comet-4-38,1.1200000000000001,0.0,1.1100000000000001,1.1200000000000001,1.1100000000000001,1.1399999999999999,1.1200000000000001,1.1000000000000001,1.1100000000000001,1.1299999999999999,1.1100000000000001,1.1100000000000001,1.1000000000000001,1.1399999999999999,1.1200000000000001,1.1299999999999999,1.1200000000000001,1.1599999999999999
comet-4-39,1.1200000000000001,1.1100000000000001,0.0,1.1100000000000001,1.1100000000000001,1.1000000000000001,1.1299999999999999,1.1200000000000001,1.0900000000000001,1.1000000000000001,1.1100000000000001,1.1599999999999999,1.1000000000000001,1.2,1.1000000000000001,1.1000000000000001,1.1100000000000001,1.1399999999999999
comet-4-40,1.1599999999999999,1.1200000000000001,1.1100000000000001,0.0,1.1399999999999999,1.0900000000000001,1.1000000000000001,1.28,1.1499999999999999,1.1200000000000001,1.1399999999999999,1.1499999999999999,1.1699999999999999,1.1100000000000001,1.1100000000000001,1.1200000000000001,1.1200000000000001,1.1100000000000001
comet-4-41,1.1399999999999999,1.1100000000000001,1.1100000000000001,1.1399999999999999,0.0,1.1100000000000001,1.1299999999999999,1.1599999999999999,1.0900000000000001,1.1299999999999999,1.1000000000000001,1.1000000000000001,1.1100000000000001,1.1299999999999999,1.1200000000000001,1.1299999999999999,1.1100000000000001,1.1000000000000001
comet-4-42,1.1200000000000001,1.1399999999999999,1.1000000000000001,1.0900000000000001,1.1100000000000001,0.0,1.1000000000000001,1.1100000000000001,1.1299999999999999,1.1299999999999999,1.1000000000000001,1.1100000000000001,1.1100000000000001,1.1000000000000001,1.1799999999999999,1.1000000000000001,1.1100000000000001,1.1499999999999999
comet-4-43,1.1200000000000001,1.1200000000000001,1.1299999999999999,1.1000000000000001,1.1299999999999999,1.1000000000000001,0.0,1.1899999999999999,1.1299999999999999,1.1399999999999999,1.1200000000000001,1.1100000000000001,1.1200000000000001,1.1100000000000001,1.1200000000000001,1.1000000000000001,1.1200000000000001,1.1299999999999999
comet-4-44,1.1899999999999999,1.1000000000000001,1.1200000000000001,1.28,1.1599999999999999,1.1100000000000001,1.1899999999999999,0.0,1.1100000000000001,1.1100000000000001,1.1000000000000001,1.1200000000000001,1.1100000000000001,1.1499999999999999,1.1299999999999999,1.1499999999999999,1.1100000000000001,1.1399999999999999
comet-4-45,1.1100000000000001,1.1100000000000001,1.0900000000000001,1.1499999999999999,1.0900000000000001,1.1299999999999999,1.1299999999999999,1.1100000000000001,0.0,1.1200000000000001,1.1100000000000001,1.1100000000000001,1.1100000000000001,1.1299999999999999,1.1299999999999999,1.1200000000000001,1.1100000000000001,1.1299999999999999
comet-4-46,1.1299999999999999,1.1299999999999999,1.1000000000000001,1.1200000000000001,1.1299999999999999,1.1299999999999999,1.1399999999999999,1.1100000000000001,1.1200000000000001,0.0,1.1399999999999999,1.1000000000000001,1.1799999999999999,1.1100000000000001,1.1100000000000001,1.1100000000000001,1.1299999999999999,1.1699999999999999
comet-4-47,1.1100000000000001,1.1100000000000001,1.1100000000000001,1.1399999999999999,1.1000000000000001,1.1000000000000001,1.1200000000000001,1.1000000000000001,1.1100000000000001,1.1399999999999999,0.0,1.1000000000000001,1.1000000000000001,1.1599999999999999,1.0900000000000001,1.1399999999999999,1.1000000000000001,1.1200000000000001
comet-4-48,1.1200000000000001,1.1100000000000001,1.1599999999999999,1.1499999999999999,1.1000000000000001,1.1100000000000001,1.1100000000000001,1.1200000000000001,1.1100000000000001,1.1000000000000001,1.1000000000000001,0.0,1.1200000000000001,1.1599999999999999,1.1100000000000001,1.1499999999999999,1.1200000000000001,1.1200000000000001
comet-4-49,1.1200000000000001,1.1000000000000001,1.1000000000000001,1.1699999999999999,1.1100000000000001,1.1100000000000001,1.1200000000000001,1.1100000000000001,1.1100000000000001,1.1799999999999999,1.1000000000000001,1.1200000000000001,0.0,1.1100000000000001,1.1100000000000001,1.1100000000000001,1.1499999999999999,1.1200000000000001
comet-4-50,1.1299999999999999,1.1399999999999999,1.2,1.1100000000000001,1.1299999999999999,1.1000000000000001,1.1100000000000001,1.1499999999999999,1.1299999999999999,1.1100000000000001,1.1599999999999999,1.1599999999999999,1.1100000000000001,0.0,1.1399999999999999,1.1599999999999999,1.1100000000000001,1.2
comet-4-51,1.1200000000000001,1.1200000000000001,1.1000000000000001,1.1100000000000001,1.1200000000000001,1.1799999999999999,1.1200000000000001,1.1299999999999999,1.1299999999999999,1.1100000000000001,1.0900000000000001,1.1100000000000001,1.1100000000000001,1.1399999999999999,0.0,1.1399999999999999,1.1200000000000001,1.1200000000000001
comet-4-52,1.1100000000000001,1.1299999999999999,1.1000000000000001,1.1200000000000001,1.1299999999999999,1.1000000000000001,1.1000000000000001,1.1499999999999999,1.1200000000000001,1.1100000000000001,1.1399999999999999,1.1499999999999999,1.1100000000000001,1.1599999999999999,1.1399999999999999,0.0,1.1100000000000001,1.1000000000000001
comet-4-53,1.1299999999999999,1.1200000000000001,1.1100000000000001,1.1200000000000001,1.1100000000000001,1.1100000000000001,1.1200000000000001,1.1100000000000001,1.1100000000000001,1.1299999999999999,1.1000000000000001,1.1200000000000001,1.1499999999999999,1.1100000000000001,1.1200000000000001,1.1100000000000001,0.0,1.1499999999999999
comet-4-54,1.1100000000000001,1.1599999999999999,1.1399999999999999,1.1100000000000001,1.1000000000000001,1.1499999999999999,1.1299999999999999,1.1399999999999999,1.1299999999999999,1.1699999999999999,1.1200000000000001,1.1200000000000001,1.1200000000000001,1.2,1.1200000000000001,1.1000000000000001,1.1499999999999999,0.0
