comet-11-19,comet-11-20
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.07
1                       1.13
2                       1.14
4                       1.15
8                       1.15
16                      1.16
32                      1.19
64                      1.22
128                     1.31
256                     1.84
512                     1.96
1024                    2.28
2048                    2.78
4096                    3.21
8192                    4.55
16384                   6.97
32768                  10.25
65536                  15.78
131072                 26.03
262144                 47.05
524288                 88.16
1048576               172.10
2097152               338.18
4194304               670.13
comet-11-19,comet-11-21
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.14
1                       1.19
2                       1.18
4                       1.19
8                       1.19
16                      1.21
32                      1.22
64                      1.25
128                     1.34
256                     1.90
512                     2.01
1024                    2.32
2048                    2.82
4096                    3.25
8192                    4.56
16384                   6.87
32768                  10.42
65536                  15.88
131072                 26.28
262144                 46.96
524288                 88.32
1048576               171.30
2097152               338.86
4194304               669.82
comet-11-19,comet-11-22
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.10
1                       1.16
2                       1.17
4                       1.16
8                       1.15
16                      1.15
32                      1.19
64                      1.23
128                     1.32
256                     1.88
512                     1.99
1024                    2.29
2048                    2.81
4096                    3.23
8192                    4.52
16384                   6.84
32768                  10.27
65536                  15.73
131072                 26.09
262144                 46.88
524288                 88.16
1048576               171.11
2097152               339.34
4194304               669.03
comet-11-19,comet-11-23
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.12
1                       1.17
2                       1.18
4                       1.19
8                       1.20
16                      1.20
32                      1.21
64                      1.26
128                     1.34
256                     1.89
512                     2.01
1024                    2.31
2048                    2.82
4096                    3.26
8192                    4.52
16384                   6.84
32768                  10.36
65536                  15.92
131072                 26.39
262144                 47.12
524288                 88.21
1048576               171.84
2097152               338.88
4194304               669.34
comet-11-19,comet-11-24
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.04
1                       1.12
2                       1.12
4                       1.13
8                       1.13
16                      1.14
32                      1.15
64                      1.19
128                     1.29
256                     1.83
512                     1.94
1024                    2.27
2048                    2.77
4096                    3.20
8192                    4.56
16384                   6.84
32768                  10.20
65536                  15.61
131072                 25.99
262144                 47.05
524288                 88.19
1048576               171.84
2097152               338.69
4194304               669.64
comet-11-19,comet-11-25
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.13
1                       1.20
2                       1.21
4                       1.21
8                       1.21
16                      1.19
32                      1.20
64                      1.25
128                     1.34
256                     1.89
512                     2.01
1024                    2.30
2048                    2.81
4096                    3.25
8192                    4.53
16384                   6.79
32768                  10.37
