comet-11-19,comet-11-20
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.07
1                       1.12
2                       1.12
4                       1.13
8                       1.13
16                      1.16
32                      1.17
64                      1.20
128                     1.29
256                     1.82
512                     1.92
1024                    2.26
2048                    2.76
4096                    3.20
8192                    4.54
16384                   6.95
32768                  10.27
65536                  15.82
131072                 26.20
262144                 46.79
524288                 89.24
1048576               171.43
2097152               338.05
4194304               669.80
comet-11-19,comet-11-21
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.11
1                       1.18
2                       1.19
4                       1.21
8                       1.19
16                      1.20
32                      1.22
64                      1.26
128                     1.33
256                     1.90
512                     2.01
1024                    2.31
2048                    2.82
4096                    3.25
8192                    4.57
16384                   6.80
32768                  10.38
65536                  15.81
131072                 26.23
262144                 46.91
524288                 88.28
1048576               171.54
2097152               339.19
4194304               670.23
comet-11-19,comet-11-22
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.05
1                       1.13
2                       1.16
4                       1.16
8                       1.17
16                      1.18
32                      1.20
64                      1.22
128                     1.32
256                     1.84
512                     1.96
1024                    2.28
2048                    2.79
4096                    3.21
8192                    4.54
16384                   6.78
32768                  10.26
65536                  15.70
131072                 26.07
262144                 46.72
524288                 88.05
1048576               171.37
2097152               339.21
4194304               668.40
comet-11-19,comet-11-23
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.07
1                       1.14
2                       1.15
4                       1.14
8                       1.15
16                      1.18
32                      1.20
64                      1.23
128                     1.31
256                     1.84
512                     1.95
1024                    2.30
2048                    2.78
4096                    3.21
8192                    4.55
16384                   6.97
32768                  10.19
65536                  15.56
131072                 26.05
262144                 46.63
524288                 88.11
1048576               171.10
2097152               338.86
4194304               669.16
comet-11-19,comet-11-24
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.05
1                       1.12
2                       1.14
4                       1.14
8                       1.15
16                      1.13
32                      1.15
64                      1.20
128                     1.28
256                     1.82
512                     1.94
1024                    2.26
2048                    2.76
4096                    3.19
8192                    4.55
16384                   6.89
32768                  10.27
65536                  15.71
131072                 26.61
262144                 46.96
524288                 88.26
1048576               171.70
2097152               338.57
4194304               670.93
comet-11-19,comet-11-25
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.06
1                       1.11
2                       1.11
4                       1.12
8                       1.10
16                      1.12
32                      1.13
64                      1.17
128                     1.26
256                     1.80
512                     1.92
1024                    2.27
2048                    2.76
4096                    3.19
8192                    4.51
16384                   6.73
32768                  10.24
65536                  15.68
131072                 26.34
262144                 46.75
524288                 88.16
1048576               171.52
2097152               337.49
4194304               668.52
comet-11-19,comet-11-26
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.15
1                       1.22
2                       1.21
4                       1.22
8                       1.22
16                      1.24
32                      1.26
64                      1.29
128                     1.38
256                     1.92
512                     2.02
1024                    2.34
2048                    2.83
4096                    3.24
8192                    4.55
16384                   6.97
32768                  10.39
65536                  15.88
131072                 26.25
262144                 46.94
524288                 88.37
1048576               171.89
2097152               338.40
4194304               670.37
comet-11-19,comet-11-27
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.05
1                       1.12
2                       1.13
4                       1.12
8                       1.12
16                      1.13
32                      1.18
64                      1.19
128                     1.26
256                     1.83
512                     1.95
1024                    2.29
2048                    2.78
4096                    3.22
8192                    4.53
16384                   6.83
32768                  10.75
65536                  15.87
131072                 26.24
262144                 46.73
524288                 88.04
1048576               172.19
2097152               338.12
4194304               669.65
comet-11-19,comet-11-28
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.07
1                       1.11
2                       1.14
4                       1.13
8                       1.13
16                      1.15
32                      1.16
64                      1.19
128                     1.28
256                     1.82
512                     1.94
1024                    2.27
2048                    2.77
4096                    3.20
8192                    4.53
16384                   6.90
32768                  10.21
65536                  15.75
131072                 26.07
262144                 46.80
524288                 88.34
1048576               171.98
2097152               338.34
4194304               669.36
comet-11-19,comet-11-29
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.05
1                       1.13
2                       1.15
4                       1.15
8                       1.15
16                      1.16
32                      1.18
64                      1.21
128                     1.32
256                     1.82
512                     1.94
1024                    2.28
2048                    2.78
4096                    3.20
8192                    4.59
16384                   7.06
32768                  10.24
65536                  15.70
131072                 26.08
262144                 46.81
524288                 88.20
1048576               171.58
2097152               338.72
4194304               669.82
comet-11-19,comet-11-30
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.06
1                       1.12
2                       1.12
4                       1.12
8                       1.11
16                      1.13
32                      1.17
64                      1.22
128                     1.30
256                     1.86
512                     1.97
1024                    2.30
2048                    2.81
4096                    3.24
8192                    4.56
16384                   7.14
32768                  10.48
65536                  15.95
131072                 26.28
262144                 46.97
524288                 88.52
1048576               171.85
2097152               339.39
4194304               670.06
comet-11-19,comet-11-31
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.16
1                       1.21
2                       1.21
4                       1.20
8                       1.20
16                      1.20
32                      1.22
64                      1.27
128                     1.35
256                     1.89
512                     2.00
1024                    2.31
2048                    2.83
4096                    3.25
8192                    4.53
16384                   6.87
32768                  10.37
65536                  15.85
131072                 26.19
262144                 46.87
524288                 88.42
1048576               172.20
2097152               339.09
4194304               669.62
comet-11-19,comet-11-32
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.06
1                       1.14
2                       1.13
4                       1.14
8                       1.15
16                      1.17
32                      1.17
64                      1.21
128                     1.31
256                     1.81
512                     1.92
1024                    2.26
2048                    2.77
4096                    3.20
8192                    4.55
16384                   6.96
32768                  10.22
65536                  15.65
131072                 26.24
262144                 46.77
524288                 88.12
1048576               172.22
2097152               338.36
4194304               668.95
comet-11-19,comet-11-33
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.09
1                       1.14
2                       1.15
4                       1.14
8                       1.14
16                      1.17
32                      1.19
64                      1.23
128                     1.31
256                     1.83
512                     1.95
1024                    2.28
2048                    2.78
4096                    3.21
8192                    4.56
16384                   6.95
32768                  10.27
65536                  15.67
131072                 26.05
262144                 46.78
524288                 88.27
1048576               171.35
2097152               338.50
4194304               668.71
comet-11-19,comet-11-34
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.04
1                       1.12
2                       1.12
4                       1.13
8                       1.12
16                      1.14
32                      1.16
64                      1.19
128                     1.29
256                     1.82
512                     1.94
1024                    2.27
2048                    2.78
4096                    3.19
8192                    4.54
16384                   6.97
32768                  10.25
65536                  15.68
131072                 26.12
262144                 46.79
524288                 88.16
1048576               171.85
2097152               339.34
4194304               669.55
comet-11-19,comet-11-35
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.04
1                       1.11
2                       1.12
4                       1.13
8                       1.14
16                      1.14
32                      1.15
64                      1.19
128                     1.29
256                     1.82
512                     1.93
1024                    2.26
2048                    2.77
4096                    3.19
8192                    4.63
16384                   6.99
32768                  10.40
65536                  15.88
131072                 26.25
262144                 46.92
524288                 89.08
1048576               171.23
2097152               338.30
4194304               669.94
comet-11-19,comet-11-36
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.05
1                       1.12
2                       1.14
4                       1.14
8                       1.13
16                      1.14
32                      1.15
64                      1.20
128                     1.27
256                     1.83
512                     1.94
1024                    2.27
2048                    2.77
4096                    3.20
8192                    4.53
16384                   6.92
32768                  10.24
65536                  15.70
131072                 26.04
262144                 46.74
524288                 88.05
1048576               172.20
2097152               338.36
4194304               669.81
comet-11-20,comet-11-19
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.07
1                       1.13
2                       1.14
4                       1.12
8                       1.12
16                      1.15
32                      1.17
64                      1.20
128                     1.28
256                     1.82
512                     1.94
1024                    2.28
2048                    2.77
4096                    3.19
8192                    4.57
16384                   6.89
32768                  10.29
65536                  15.70
131072                 26.07
262144                 46.77
524288                 88.11
1048576               171.60
2097152               338.16
4194304               669.07
comet-11-20,comet-11-21
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.12
1                       1.17
2                       1.16
4                       1.15
8                       1.14
16                      1.16
32                      1.18
64                      1.21
128                     1.29
256                     1.82
512                     1.93
1024                    2.27
2048                    2.76
4096                    3.19
8192                    4.54
16384                   6.97
32768                  10.17
65536                  15.63
131072                 26.04
262144                 46.74
524288                 88.11
1048576               171.50
2097152               338.51
4194304               670.57
comet-11-20,comet-11-22
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.04
1                       1.11
2                       1.11
4                       1.11
8                       1.12
16                      1.12
32                      1.14
64                      1.18
128                     1.27
256                     1.77
512                     1.89
1024                    2.25
2048                    2.76
4096                    3.16
8192                    4.64
16384                   6.98
32768                  10.22
65536                  15.61
131072                 26.02
262144                 46.72
524288                 88.19
1048576               171.21
2097152               338.29
4194304               669.40
comet-11-20,comet-11-23
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.04
1                       1.11
2                       1.12
4                       1.12
8                       1.12
16                      1.13
32                      1.14
64                      1.19
128                     1.27
256                     1.77
512                     1.89
1024                    2.25
2048                    2.75
4096                    3.19
8192                    4.55
16384                   6.89
32768                  10.06
65536                  15.50
131072                 26.00
262144                 46.62
524288                 87.98
1048576               171.25
2097152               338.80
4194304               670.19
comet-11-20,comet-11-24
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.04
1                       1.11
2                       1.10
4                       1.10
8                       1.10
16                      1.11
32                      1.13
64                      1.16
128                     1.25
256                     1.76
512                     1.88
1024                    2.24
2048                    2.73
4096                    3.18
8192                    4.52
16384                   6.97
32768                  10.02
65536                  15.48
131072                 25.84
262144                 46.63
524288                 88.06
1048576               171.50
2097152               338.62
4194304               670.44
comet-11-20,comet-11-25
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.05
1                       1.10
2                       1.10
4                       1.11
8                       1.10
16                      1.12
32                      1.13
64                      1.17
128                     1.27
256                     1.76
512                     1.89
1024                    2.25
2048                    2.73
4096                    3.16
8192                    4.51
16384                   6.84
32768                  10.07
65536                  15.47
131072                 25.83
262144                 46.56
524288                 87.95
1048576               171.54
2097152               337.62
4194304               669.12
comet-11-20,comet-11-26
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.04
1                       1.10
2                       1.10
4                       1.10
8                       1.10
16                      1.12
32                      1.13
64                      1.17
128                     1.26
256                     1.78
512                     1.87
1024                    2.24
2048                    2.74
4096                    3.16
8192                    4.51
16384                   6.75
32768                  10.03
65536                  15.48
131072                 25.86
262144                 46.56
524288                 87.91
1048576               171.84
2097152               338.75
4194304               670.77
comet-11-20,comet-11-27
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.10
1                       1.15
2                       1.14
4                       1.15
8                       1.14
16                      1.16
32                      1.19
64                      1.22
128                     1.30
256                     1.84
512                     1.95
1024                    2.28
2048                    2.77
4096                    3.20
8192                    4.55
16384                   6.92
32768                  10.19
65536                  15.67
131072                 26.04
262144                 46.70
524288                 88.20
1048576               171.48
2097152               338.32
4194304               670.63
comet-11-20,comet-11-28
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
0                       1.08
1                       1.14
2                       1.13
4                       1.14
